,x,y,z,cluster_labels_baseline
135,4.881749,1.1144778,3.6164563,HRIR
136,7.0338726,11.685595,5.5411735,VLR
137,8.194104,9.15684,3.674187,VLR
138,4.878365,11.7029,6.1222377,VLR
139,4.98077,8.326951,4.8577724,HRBF
140,1.681675,9.432164,4.969555,LRMP
141,4.230484,4.552236,6.0834227,HRBF
142,2.5323412,5.8109612,5.8260193,HRBF
143,6.075839,7.868494,7.0958,HRBF
144,5.2726607,9.728784,2.050157,VLR
145,1.7142919,8.772967,7.1790113,LRMP
146,6.086456,7.8701153,6.432494,HRBF
147,4.6845484,11.1177,6.6522126,LRMP
148,-0.67871374,6.979497,6.9831195,LRMP
149,-0.29321685,7.2775984,5.2618976,LRMP
150,0.60795224,9.064677,2.713235,LRMP
151,8.075688,11.118469,2.2817435,VLR
152,4.0364604,4.8189187,4.8170075,HRBF
153,4.466604,8.013363,7.7568455,HRBF
154,8.60497,11.324223,4.5632863,VLR
155,5.0804925,12.101856,4.934539,VLR
156,1.4138992,10.023649,6.410156,LRMP
157,0.7013006,4.2772593,8.645369,HRVP
158,1.5605956,4.561347,8.385176,HRVP
159,1.4487503,6.5167837,9.375507,LRMP
160,7.5140615,7.6996293,2.0811749,LRHB
161,7.202431,10.689903,3.1947014,VLR
162,0.28910387,8.29332,6.7562766,LRMP
163,6.0909877,4.720273,5.851786,HRBF
164,1.4864678,9.757672,5.0352964,LRMP
165,6.636844,10.907887,6.5924683,VLR
166,1.9956379,9.120127,4.949843,LRMP
167,4.6792617,11.886226,5.500538,VLR
168,5.1064897,10.202018,5.756965,LRMP
169,2.979191,7.192809,5.496692,HRBF
170,2.419481,6.19141,0.33304012,LRHB
171,2.419196,9.219209,0.94631606,LRHB
172,4.195688,1.776722,3.4940474,HRIR
173,5.415865,1.3019793,2.7818418,HRIR
174,1.1531535,7.3830843,1.9427471,LRHB
175,4.238713,2.6754384,3.8175383,HRIR
176,2.0627203,10.478675,4.2536244,LRMP
177,1.0273528,10.284718,1.9654012,LRMP
178,0.8834756,10.63139,4.725184,LRMP
179,1.0380964,10.384711,5.7565246,LRMP
180,1.4724729,8.8587885,4.2494726,LRMP
181,1.0946921,8.941776,1.9082123,LRMP
182,1.008862,9.985672,1.7988122,LRMP
183,4.3817363,8.560987,0.80150056,LRHB
184,2.0477715,7.5333114,3.5278318,LRMP
185,6.4813247,4.053087,4.8305063,HRBF
186,0.9843829,8.438543,5.744226,LRMP
187,4.6347175,11.822102,2.3884559,VLR
188,6.4795,9.509999,1.3851229,VLR
189,0.205812,6.9191284,6.625601,LRMP
190,2.085716,7.799877,4.0485754,HRBF
191,-0.035991613,4.3348866,7.947902,HRVP
192,3.0146437,6.2732134,5.1233287,HRBF
193,4.565927,12.086927,4.973974,LRMP
194,4.1085095,4.549615,5.839726,HRBF
195,7.004915,9.448882,0.46715575,VLR
196,0.80437094,8.321296,3.3499606,LRMP
197,4.4649878,11.9954405,3.642612,VLR
198,6.9876375,12.281135,3.3196857,VLR
199,1.2415726,8.1780615,1.9059001,LRHB
200,7.3387527,10.039955,1.8147303,VLR
201,6.375719,12.266838,1.4323068,VLR
202,-0.85979074,7.752668,6.9493914,LRMP
203,6.542401,10.229874,0.52104115,VLR
204,0.99023247,9.345723,2.251546,LRMP
205,7.906015,12.175719,2.8402748,VLR
206,5.0565734,8.966869,2.1970952,LRHB
207,4.555762,12.392565,4.509845,VLR
208,7.7837076,12.788101,2.111142,VLR
209,4.327947,2.586335,0.71724397,HRIR
210,1.4744698,10.18197,1.3390158,LRMP
211,1.7046293,4.223129,6.9461613,LRHB
212,0.47783998,8.794877,3.263001,LRMP
213,5.1729846,5.802042,3.2078989,HRBF
214,6.7206507,7.064677,3.888495,HRBF
215,6.680465,13.056423,2.7104812,VLR
216,6.1570344,12.612584,2.9418166,VLR
217,4.1280026,11.306662,3.7216368,VLR
218,7.264482,12.282379,3.9017057,VLR
219,4.846713,12.49279,4.800501,VLR
220,5.8105817,8.344168,1.5006226,VLR
221,5.352034,10.259824,5.6708274,VLR
222,2.9093647,3.7270927,1.0223379,LRHB
223,7.9789376,12.671821,3.6073072,VLR
224,0.22144356,7.606319,4.101278,LRMP
225,8.092411,12.552724,2.5058718,VLR
226,8.355394,12.4794445,3.0766346,VLR
